establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name
Willowbrook Solar|McCarthy Building Companies, Inc.|OH|1|1|6|11715|430399290|'McCarthy Building Companies'|mccarthy building companies
Cattlemen 1 Solar|McCarthy Building Companies, Inc.|TX|1|3|9|18843|430399290|'McCarthy Building Companies'|mccarthy building companies
Sioux Falls WRF|McCarthy Building Companies, Inc.|SD|1|21|77|159421|430399290|'McCarthy Building Companies'|mccarthy building companies
Dynamic Metals Goup|Dynamic Metals, LLC|IN|1|2|154|291027|900106552|'Dynamic Metals'|dynamic metals
Noble Pride Roofing Company Inc.|Noble Pride Roofing Company Inc.|CA|1|1|15|25218|542186604|'Noble Pride Roofing'|noble pride roofing
ASPEN TECHNOLOGIES INC - Michigan|Aspen Technologies|MI|1|21|72|131611|141886899|'Aspen Group'|aspen
ASPEN TECHNOLOGIES INC - Tennessee|Aspen Technologies Inc|TN|1|21|80|151277|141886899|'Aspen Group'|aspen
Owens Corning|Owens Corning|OR|1|2|55|98994|383737830|'Owens Corning'|owens corning
West Texas Home Health, Inc dba Bluebonnet Home Health and Hospice|Preferred Management Corp|TX|1|1|17|21|203346677|'Preferred Construction Services Inc.'|preferred
AECOM DCS (US Operations)|AECOM|TX|1|3|14708|30592420|952661922|'AECOM'|aecom
Bethany on the Lake|Monarch|MN|1|22|162|172888|823339762|'Monarch Consulting Services'|monarch
Great Lakes Solutions LLC|Great Lakes Solutions LLC|MI|1|22|124|194228|872485066|'Great Lakes Systems Inc.'|great lakes
Superior Services RSH, Inc.|Superior Services RSH, Inc.|MI|1|21|25|56301|382491879|'Superior Services RSH Inc.'|superior services rsh
Greenwood Plastics South|Greenwood Inc|IL|1|21|32|658333|370816080|'Greenwood Industries Inc.'|greenwood
Waterview Shores Skilled Nursing Facility|Monarch|MN|1|2|36|46863|834662774|'Monarch Consulting Services'|monarch
York Roofing, Inc.|York Roofing, Inc.|PA|1|21|22|40150|232063262|'York Roofing Inc.'|york roofing
Bone Dry Roofing Company|Bone Dry Roofing Company|SC|1|21|30|62913|861081716|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing
Trigard Memorials|Greenwood Inc|IL|1|21|15|28661|370816080|'Greenwood Industries Inc.'|greenwood
Edwards Roofing Company Inc|Edwards Roofing Company inc|FL|1|21|32|61883|591101925|'Edwards Roofing Co. Inc.'|edwards roofing
BK 8744|MRB Holdings LLC|NV|1|2|19|25623|200816567|'MRB Contractors LLC'|mrb
Browning Chapman, LLC|Browning Chapman, LLC|IN|1|22|169|359480|461327461|'Browning Chapman, LLC'|browning chapman
Elens & Maichin Roofing & Sheet Metal, Inc.|Elens & Maichin Roofing & Sheet Metal, Inc.|IL|1|21|33|59842|362807358|'Elens & Maichin Roofing & Sheet Metal Inc.'|elens & maichin roofing & sheet metal
CERTAINTEED LLC|CERTAINTEED LLC|MN|1|3|270|610667|232510893|'CertainTeed LLC'|certainteed
NorthStar Construction Services|NorthStar Construction Services|MA|1|21|63|111091|043156949|'NorthStar Construction Services Corp.'|northstar
Atlas Roofing Shingle Plant|Atlas Roofing|OH|1|2|110|267936|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing
Atlas Roofing Paper Mill|Atlas Roofing|OH|1|2|55|114284|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing
7281_16685|Great Lakes Systems|MI|1|21|44|80822|381868212|'Great Lakes Systems Inc.'|great lakes
CAMP HILL|Atlas Roofing|PA|1|21|67|155664|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing
PHRG PHX|Power Home Remodeling|AZ|1|21|117|366960|233030708|'Power Home Remodeling Group LLC'|power home remodeling
AGH Inc|AGH Inc|OR|1|21|11|18233|205834807|'AGH'|agh
Pioneer Roofing Co|Pioneer Roofing Co|AZ|1|21|31|54662|861037548|'Pioneer Roofing Co.', 'Pioneer Roofing Company', 'Pioneer Roofing Systems Inc.'|pioneer roofing
Ismali Center Houston|McCarthy Building Companies, Inc.|TX|1|2|97|201394|430399290|'McCarthy Building Companies'|mccarthy building companies
Tecta America Colorado LLC|Tecta America Colorado LLC|CO|1|21|65|117935|202909369|'Tecta America Colorado LLC'|tecta america colorado
ARS, a Tecta America Company, LLC.|ARS, a Tecta America Company, LLC.|SD|1|21|61|124909|841505685|'ARS, A Tecta America Company'|ars, a tecta america
Owens Corning Denver Roofing|Owens Corning|CO|1|2|146|245118|320176634|'Owens Corning'|owens corning
Owens Corning Denver Asphalt|Owens Corning|CO|1|2|24|52734|320176634|'Owens Corning'|owens corning
Diversified Roofing|Diversified Roofing|AZ|1|3|400|752599|860599690|'Diversified Roofing'|diversified roofing
Benchmark Construction|Benchmark Construction|IL|1|2|52|77360|362812213|'Benchmark Inc.'|benchmark
Kulp's of Stratford|Kulp's of Stratford|WI|1|21|39|69659|391915695|'Kulp's of Stratford LLC'|kulp's of stratford
BK 7804|MRB Holdings LLC|NV|1|2|28|33890|200816567|'MRB Contractors LLC'|mrb
0000000001 ALLIED SERVICES REHAB HOSPITA|ALLIED SERVICES|PA|1|3|361|416811|232523395|'Allied Construction Services'|allied
0000000002 DEVELOPMENTAL SERVICES|ALLIED SERVICES|PA|1|3|282|408756|240860110|'Allied Construction Services'|allied
0000000003 VOCATIONAL SERVICES|ALLIED SERVICES|PA|1|3|423|441077|240860110|'Allied Construction Services'|allied
0000000004 SKILLED NURSING CENTER|ALLIED SERVICES|PA|1|3|404|577484|232523688|'Allied Construction Services'|allied
0000000005 JOHN HEINZ INSTITUTE OF REHAB|ALLIED SERVICES|PA|1|3|320|371456|232262852|'Allied Construction Services'|allied
0000000006 BURNLEY WORK SHOP DIV 06|ALLIED SERVICES|PA|1|3|119|121408|231642528|'Allied Construction Services'|allied
0000000010 MENTAL HEALTH SERVICES|ALLIED SERVICES|PA|1|3|177|180623|240860110|'Allied Construction Services'|allied
0000000015 HOME HEALTH|ALLIED SERVICES|PA|1|3|54|77242|240860110|'Allied Construction Services'|allied
0000000016 CORPORATE SERVICES|ALLIED SERVICES|PA|1|3|296|341114|240860110|'Allied Construction Services'|allied
0000000030 PHARMACY|ALLIED SERVICES|PA|1|3|48|63142|240860110|'Allied Construction Services'|allied
0000000034 HOSPICE|ALLIED SERVICES|PA|1|3|88|109467|240860110|'Allied Construction Services'|allied
0000000040 MEADE STREET SKILLED NURSING|ALLIED SERVICES|PA|1|3|252|293086|232862231|'Allied Construction Services'|allied
0000000045 CENTER CITY SKILLED NURSING|ALLIED SERVICES|PA|1|3|186|188963|232862231|'Allied Construction Services'|allied
Tecta America Seattle LLC|Tecta America Seattle LLC|WA|1|21|32|54347|260150494|'Tecta America Seattle LLC'|tecta america seattle
Ardizzone Enterprises Inc|Ardizzone Enterprises Inc|IN|1|2|30|62849|351805237|'Ardizzone Enterprises Inc.'|ardizzone
Tecta America West Florida, LLC|Tecta America West Florida, LLC|FL|1|1|20|38591||'Tecta America West Florida LLC'|tecta america west florida
JB Roofing a Tecta America Company LLC Akron Office|JB Roofing a Tecta America Company LLC|OH|1|1|13|26868|814397282|'JB Roofing a Tecta America Company LLC'|jb roofing a tecta america
JB Roofing a Tecta America Company LLC Louisville|JB Roofing a Tecta America Company LLC|KY|1|1|7|15031|814397282|'JB Roofing a Tecta America Company LLC'|jb roofing a tecta america
JB Roofing a Tecta America Company LLC Worthington Office|JB Roofing a Tecta America Company LLC|OH|1|21|18|36663|814397282|'JB Roofing a Tecta America Company LLC'|jb roofing a tecta america
WEST TENN PAVING & GRADING|DELTA CONTRACTING COMPANY LLC|TN|1|2|137|273352|204291579|'Delta Contracting Services Inc.'|delta contracting
TECTA AMERICA DAKOTAS LLC|TECTA AMERICA DAKOTAS LLC|ND|1|22|123|222195|450278200|'Tecta America Dakotas LLC'|tecta america dakotas
Tech Manufacturing|Tech Manufacturing|MO|1|21|76|144818|912188411|'Tech Corp LLC', 'Tech Systems Inc.'|tech
NG Ancona (Streator) Storage Station|Southern Company|IL|1|2|27|53106||'Southern National'|southern
NG Aurora Fleet Facility|Southern Company|IL|1|21|28|56112||'Southern National'|southern
NG Bellwood Reporting Center|Southern Company|IL|1|2|117|234969||'Southern National'|southern
NG Bloomington Reporting Center|Southern Company|IL|1|2|41|81663||'Southern National'|southern
NG Crestwood Reporting Center|Southern Company|IL|1|2|83|166332||'Southern National'|southern
NG Crystal Lake Reporting Center|Southern Company|IL|1|2|84|167835||'Southern National'|southern
NG DeKalb Reporting Center|Southern Company|IL|1|2|24|48597||'Southern National'|southern
NG Des Plaines Reporting Center|Southern Company|IL|1|2|95|190881||'Southern National'|southern
NG Dixon Reporting Center|Southern Company|IL|1|2|26|51603||'Southern National'|southern
NG Elgin Reporting Center & Weld School|Southern Company|IL|1|2|54|108717||'Southern National'|southern
NG Glen Ellyn Reporting Center|Southern Company|IL|1|3|282|565629||'Southern National'|southern
NG Glenwood Reporting Center|Southern Company|IL|1|2|126|252504||'Southern National'|southern
NG Ingleside Reporting Center|Southern Company|IL|1|2|26|51603||'Southern National'|southern
NG Joliet Reporting Center|Southern Company|IL|1|2|139|278055||'Southern National'|southern
NG Kankakee Reporting Center|Southern Company|IL|1|2|30|60120||'Southern National'|southern
NG Naperville Reporting Center|Southern Company|IL|1|3|749|1500495||'Southern National'|southern
NG Ottawa Reporting Center|Southern Company|IL|1|2|31|61623||'Southern National'|southern
NG Rockford Service Center|Southern Company|IL|1|2|73|145290||'Southern National'|southern
NG Schaumburg Reporting Center|Southern Company|IL|1|2|67|133767||'Southern National'|southern
NG Shorewood Transmission Center|Southern Company|IL|1|1|22|43587||'Southern National'|southern
NG Troy Grove Storage Station|Southern Company|IL|1|2|21|42084||'Southern National'|southern
NG Yorkville Reporting Center|Southern Company|IL|1|2|71|141282||'Southern National'|southern
Nor-Son Construction|Anderson Group Inc|MN|1|2|63|122091|873873087|'Anderson Associates'|anderson
Nor-Son Custom Builders|Anderson Group Inc|MN|1|2|65|122315|411321194|'Anderson Associates'|anderson
Pacific Home Health & Hospice|Preferred Management|OR|1|21|21|31748|931213338|'Preferred Construction Services Inc.'|preferred
JHS Restoration, Inc.|JHS Restoration, Inc.|CT|1|1|22|36031|272097915|'JHS Restoration Inc.'|jhs restoration
Recovery Roofing Inc|Recovery Roofing Inc|FL|1|21|25|61248|843651605|'Recovery Roofing Inc.'|recovery roofing
CCA Davison Rd Processing Center|GM|MI|1|3|1100|2072269|270383222|'GM Consulting LLC'|gm
TAMKO Building Products LLC - Columbus|TAMKO Building Products LLC|KS|1|2|36|67609|440502367|'TAMKO Building Products Inc.'|tamko building products
TAMKO Building Products LLC - Dallas|TAMKO Building Products LLC|TX|1|2|89|207359|440502367|'TAMKO Building Products Inc.'|tamko building products
TAMKO Building Products LLC - Ennis|TAMKO Building Products LLC|TX|1|2|27|54132|440502367|'TAMKO Building Products Inc.'|tamko building products
TAMKO Building Products LLC - Frederick|TAMKO Building Products LLC|MD|1|2|104|224413|440502367|'TAMKO Building Products Inc.'|tamko building products
TAMKO Building Products LLC - High Street|TAMKO Building Products LLC|MO|1|2|118|272217|440502367|'TAMKO Building Products Inc.'|tamko building products
TAMKO Building Products LLC - Knoxville|TAMKO Building Products LLC|TN|1|2|41|86244|440502367|'TAMKO Building Products Inc.'|tamko building products
TAMKO Building Products LLC - Phillipsburg|TAMKO Building Products LLC|KS|1|2|98|212101|440502367|'TAMKO Building Products Inc.'|tamko building products
TAMKO Building Products LLC - Rangeline|TAMKO Building Products LLC|MO|1|2|37|76278|440502367|'TAMKO Building Products Inc.'|tamko building products
TAMKO Building Products LLC - Tuscaloosa|TAMKO Building Products LLC|AL|1|2|90|197915|440502367|'TAMKO Building Products Inc.'|tamko building products
BK 1889|MRB Holdings LLC|NV|1|2|19|31840|200816567|'MRB Contractors LLC'|mrb
BK 3993|MRB Holdings LLC|NV|1|2|27|33689|200816567|'MRB Contractors LLC'|mrb
Hytech Roofing, INC|Hytech Roofing, INC|WA|1|21|62|97800|911202974|'HyTech Roofing Inc.'|hytech roofing
Owens Corning Foam - Rockford|Owens Corning|IL|1|21|72|140803||'Owens Corning'|owens corning
Brazos Commercial Roofing|Brazos Commercial Roofing|TX|1|21|29|58951|821863311|'Brazos Commercial Roofing LLC'|brazos commercial roofing
Roofing by Curry|Roofing by Curry|FL|1|22|178|391120|650847999|'Roofing by Curry'|roofing by curry
Cross Technologies Inc Greenville|Cross Technologies Inc|SC|1|2|23|50273|560600094|'Cross Construction CO. INC.'|cross
Cross Technologies Inc Raleigh|Cross Technologies Inc|NC|1|2|22|45910|560600094|'Cross Construction CO. INC.'|cross
Owens Corning|Owens Corning|FL|1|22|120|251360|432109021|'Owens Corning'|owens corning
A. W. Farrell & Son, Inc. - Erie|A. W. Farrell & Son, Inc.|PA|1|21|42|75926|160954042|'A. W. Farrell & Son'|a. w. farrell & son
A. W. Farrell & Son, Inc. - Las Vegas|A. W. Farrell & Son, Inc.|NV|1|21|73|195950|160954042|'A. W. Farrell & Son'|a. w. farrell & son
A. W. Farrell & Son, Inc. - Plattsburgh|A. W. Farrell & Son, Inc.|NY|1|21|38|86524|160954042|'A. W. Farrell & Son'|a. w. farrell & son
A. W. Farrell & Son, Inc. - Dunkirk|A. W. Farrell & Son, Inc.|NY|1|21|40|83334|160954042|'A. W. Farrell & Son'|a. w. farrell & son
Delta T Construction|Delta T Construction|WI|1|2|79|192768|391421168|'Delta T Construction Co. Inc.'|delta t
Gordon Solutions LLC|Gordon Solutions LLC|WI|1|2|19|33023|272409745|'Gordon Contractors Inc.'|gordon
Office|BP Builders|MO|1|2|27|56160|811488183|'BP Builders'|bp builders
7445_17135|Encore Roofing,Inc.|GA|1|21|60|140799|010551453|'Encore Roofing Inc.'|encore roofing
Grace Roofing & Sheet Metal Enterprise|Grace Roofing & Sheet Metal Enterprise|FL|1|21|45|61410|263981778|'Grace Roofing & Sheet Metal Enterprise'|grace roofing & sheet metal enterprise
New Excelsior Inc|Alpha Industries Inc|NC|1|21|62|122211|464271510|'Alpha Construction Services'|alpha
COMMERCIAL ROOFING LLC|COMMERCIAL ROOFING LLC|NM|1|21|37|74947|850457633|'Commercial Roofing Co. LLC', 'Commercial Roofing LLC', 'Commercial Roofing Systems Inc.'|commercial roofing
Westlake Royal Roofing LLC-Corona|Westlake Royal Roofing LLC|CA|1|21|61|136435|760321065|'Westlake Royal Roofing'|westlake royal roofing
Momentum Builders Inc|Momentum Builders Inc|PA|1|1|15|31152|251413147|'Momentum Builders Inc.'|momentum builders
Westlake Royal Roofing LLC-Denver|Westlake Royal Roofing LLC|CO|1|1|14|26027|760321065|'Westlake Royal Roofing'|westlake royal roofing
Foster Contracting, Inc.|Foster Contracting, Inc.|IN|1|1|14|30011|901194237|'Foster Contracting, Inc.'|foster contracting
United Fiber Maryville 136|United Services Inc|MO|1|1|12|24217|431647434|'United Contractors'|united
BRDOH- Cincinnati|Bone Dry Roofing, Inc|OH|1|1|19|19988|351883225|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing
BDROH- Columbus|Bone Dry Roofing, Inc|OH|1|1|6|8835|351883225|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing
BDROH- Dayton|Bone Dry Roofing, Inc|OH|1|1|10|8170|351883225|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing
Tech Roofing Service, Inc.|Tech Roofing Service, Inc.|MA|1|21|24|48220|042730706|'Tech Roofing Service Inc.'|tech roofing service
Tri-Lam Roofing & Waterproofing, Inc.|Tri-Lam Roofing & Waterproofing, Inc.|TX|1|21|45|79919|262227683|'Tri-Lam Roofing & Waterproofing Inc.'|tri-lam roofing & waterproofing
BDRIN-Evansville|Bone Dry Roofing, Inc|IN|1|1|5|4063|351883225|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing
Garage|Baker Roofing|NC|1|1|8|17958|560130810|'Baker Roofing Co.'|baker roofing
Greenville NC|Baker Roofing|NC|1|1|12|21432|560130810|'Baker Roofing Co.'|baker roofing
BDRIN-Ft Wayne|Bone Dry Roofing, Inc|IN|1|1|10|18674|351883225|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing
BDR-IndyNorth|Bone Dry Roofing, Inc|IN|1|22|166|191080|351883225|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing
BDRIN-Lafayette|Bone Dry Roofing, Inc|IN|1|21|25|32345|351883225|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing
BDRKY-Lexington|Bone Dry Roofing, Inc|KY|1|1|18|26297|351883225|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing
BDRKY-Louisville|Bone Dry Roofing, Inc|KY|1|21|28|39719|351883225|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing
BDRTN-Nashville|Bone Dry Roofing, Inc|TN|1|1|5|11473|351883225|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing
BDRMO-St Louis|Bone Dry Roofing, Inc|MO|1|21|21|27367|351883225|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing
BDRIN-Bloomington|Bone Dry Roofing, Inc|IN|1|21|18|33313|351883225|'Bone Dry Roofing', 'Bone Dry Roofing Co.', 'Bone Dry Roofing Company', 'Bone Dry Roofing Inc.'|bone dry roofing
Milliken & Company Two Rivers Plant|Milliken & Company|NC|1|2|150|326165|510105342|'Milliken & Company'|milliken &
New Hanover Psychosocial Rehabilitation|Monarch|NC|1|1|1|3376|561326126|'Monarch Consulting Services'|monarch
Straightline Sheet Metal LLC|Straightline Sheet Metal LLC|MI|1|2|44|82981|273726120|'Straightline Sheet Metal'|straightline sheet metal
Great Lakes Management GTHI Global Pointe Senior Living|Great Lakes Management|MN|1|2|57|76300|203937802|'Great Lakes Systems Inc.'|great lakes
Evolve|Evolve|TX|1|21|65|111110||'Evolve Contractors'|evolve
ESI Inc.|ESI Inc.|OH|1|3|1094|2736904|341002467|'ESi'|esi
Allied Crawford Steel|Allied Properties Inc|OH|1|21|40|75967||'Allied Construction Services'|allied
