company_name|ein|stripped_company_name|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024
NIR Roof Care, Inc.||nir roof care|0|39|0|0|0|0|49245|0|0|0
Nitro Roofing and Construction LLC|451562156|nitro roofing|0|0|22|22|30|0|0|48157|47198|49470
Noble Pride Roofing Company Inc.|542186604|noble pride roofing|0|0|22|14|15|0|0|86282|27364|25218
Noffke Roofing Co, LLC|43668289|noffke roofing|0|0|40|42|0|0|0|61410|65833|0
NorCal Painters Inc DBA: CertaPro Painters of San Francisco||norcal painters inc dba: certapro painters of san francisco|30|0|0|0|0|48000|0|0|0|0
Nordmann Roofing Co., Inc.|344417131|nordmann roofing|0|50|50|50|50|0|88914|100876|92477|105149
Norman Roofing|640743658|norman roofing|48|52|0|42|50|86651|77592|0|88640|76211
Norman Roofing||norman roofing|0|0|97|0|0|0|0|77939|0|0
North American Roofing|832410355|north american roofing|0|0|150|164|268|0|0|309330|326438|378853
North Face Roofing, Inc|274208006|north face roofing|35|48|0|65|0|80964|108673|0|133752|0
North Tech Construction, Inc.|411915402|north tech|0|26|23|23|0|0|45090|45090|42357|0
Northeast Construction, Inc.|521989823|northeast|0|21|0|26|0|0|43587|0|54080|0
Northeast Roof Maintenance|223328764|northeast roof maintenance|33|0|0|0|52|52389|0|0|0|88527
northern ohio roofing and sheet metal, inc|341095483|northern ohio roofing & sheet metal|20|13|24|0|0|22888|18955|29026|0|0
Northshore Exteriors Inc.|911374732|northshore exteriors|0|0|0|13|0|0|0|0|24452|0
NorthStar Community Services|833944457|northstar community|0|0|0|6|0|0|0|0|7554|0
NorthStar Construction Services|043156949|northstar|71|68|63|59|63|136612|126873|114820|105702|111091
Northwestern Roofing Co., Inc.|251302880|northwestern roofing|23|22|20|17|0|45611|34732|39086|32821|0
Norton Sons Roofing|363586070|norton sons roofing|34|0|0|0|30|53130|0|0|0|29455
Norton Sons Roofing Co., Inc.||norton sons roofing|0|0|32|32|0|0|0|68139|42256|0
Norvell Roofing and Construction, LLC|923836518|norvell roofing|0|0|0|1|0|0|0|0|1040|0
Nova Carpentry, Inc.|650388575|nova carpentry|35|35|38|29|27|62919|68056|68676|54559|59170
Nu Look Home Design|300162065|nu look home design|0|61|63|0|0|0|140855|115508|0|0
Nu-Tec Roofing Contractors LLC|352114307|nu-tec roofing|71|70|60|60|53|169266|131289|127813|150632|113791
Nu-Tek Roof Systems|872917902|nu-tek roof|0|0|0|0|9|0|0|0|0|18720
NULL|020232174|null|0|0|0|0|25|0|0|0|0|50901
Nushake Inc|680320979|nushake|33|40|14|0|0|46739|32018|40267202|0|0
NuWorx, LLC|262269249|nuworx|5|0|0|0|0|4878|0|0|0|0
NV Roofing|541912583|nv roofing|48|43|0|0|0|45123|137078|0|0|0
NVR, Inc.|541394360|nvr|0|116|0|0|0|0|238160|0|0|0
NW Umpqua Roofing & Waterproofing Inc|881039888|nw umpqua roofing & waterproofing|0|0|0|25|25|0|0|0|29720|40716
O'NEAL JR. ROOFING, INC.|264621172|o'neal jr. roofing|0|18|22|44|26|0|33743|42335|84216|46625
O'Neal Roofing Company|592015309|o'neal roofing|36|36|36|26|25|39781|38099|35648|35788|36571
Offshore Construction, Inc.|593534878|offshore|0|0|10|10|12|0|0|21000|26000|26500
OGLES ROOFING  CONSTRUCTION LLC|465481578|ogles roofing|17|17|21|44|24|27650|28258|36173|72642|33548
Oklahoma roofing and sheet metal||oklahoma roofing & sheet metal|123|121|118|134|0|261644|252820|232151|258188|0
Old Dominion Roofing and Construction, Inc.|541442131|old dominion roofing|0|24|0|0|0|0|30950|0|0|0
OLD WORLD CRAFTSMEN|780735258|old world craftsmen|0|0|0|0|25|0|0|0|0|60000
Olsson Roofing Co., Inc.|362104947|olsson roofing|179|180|178|180|185|311175|294660|315357|325435|368469
Omnia Exterior Solutions member company / James + Whitney, LLC|820930156|omnia exterior solutions member company / james + whitney|0|0|0|0|30|0|0|0|0|62400
On Top Roofing LLC|800237026|on top roofing|0|0|0|16|0|0|0|0|11627|0
One Ply Roofing Co.|473234734|one ply roofing|0|0|5|0|0|0|0|9800|0|0
One Source Roofing, Inc.|593196780|one source roofing|15|20|0|0|0|23945|38990|0|0|0
Orchid Island Construction, LLC|383740567|orchid island|0|0|0|0|40|0|0|0|0|83419
Orian Roofing and Construction|882702045|orian roofing|0|0|0|18|0|0|0|0|7800|0
Orion Builders Service, Inc.|461840121|orion builders service|44|42|42|36|22|73378|74521|79674|63092|40133
ORLANDO RESTORATION SERVICES LLC|815064928|orlando restoration|0|0|0|62|0|0|0|0|28594|0
Orndorff & Spaid Inc.||orndorff & spaid|175|0|170|170|0|394489|0|382749|401661|0
Oshkosh Industrial Roofing & Sheetmetal A Tecta America Company LLC|921061550|oshkosh industrial roofing & sheetmetal a tecta america|0|0|0|13|13|0|0|0|22099|18524
OSR Holding Company, LLC|991311502|osr holding|0|0|0|0|135|0|0|0|0|173773
Over the Top Roofing LLC|834158088|over the top roofing|18|26|20|17|15|31366|40172|42528|27012|23749
Overhead Solutions LLC|872206498|overhead|0|0|0|0|16|0|0|0|0|32000
Oxentenko, Inc.|450305779|oxentenko|25|28|0|0|0|56069|60322|0|0|0
PACE ENTERPRISE, INC|593193322|pace enterprise|26|0|0|0|0|38158|0|0|0|0
Pacific Coast Painting, Inc.|953775540|pacific coast painting|4|0|0|0|0|6265|0|0|0|0
Pacific Crossing Inc|451798553|pacific crossing|40|36|31|38|0|66304|61626|33719|63702|0
Pacific West Roofing LLC|562567059|pacific west roofing|30|34|0|0|0|45816|54737|0|0|0
Pactiv LLC|362552989|pactiv|0|0|0|0|0|0|0|0|15241|0
Palmer West Construction Company Inc|411519611|palmer west|50|50|45|47|41|78569|71559|65137|79915|70198
Palmieri Roofing, Inc.|30326938|palmieri roofing|0|0|11|9|0|0|0|17899|13858|0
Paragon Roofing DBA Etruscan Gutters & Roofing|271931996|paragon roofing dba etruscan gutters & roofing|0|0|0|30|30|0|0|0|60000|72000
Paragon Roofing, LLC|612101070|paragon roofing|0|0|0|105|0|0|0|0|57470|0
Paramount Roofing, Inc|262459527|paramount roofing|25|25|20|20|30|50170|45059|46211|46268|49377
Parker Roofing Options, LLC|813246204|parker roofing options|0|0|0|20|0|0|0|0|36400|0
Partin Roofing L.L.C.||partin roofing l.l.c|0|0|19|0|0|0|0|43929|0|0
Patriot Contracting Inc||patriot contracting|0|9|0|0|0|0|12980|0|0|0
Patriot Roofing, Inc.|223101327, 223101723|patriot roofing|0|0|0|244|0|0|0|0|306046|0
Patton Developments, Inc. dba NorCal Roofing|881091741|patton developments inc. dba norcal roofing|0|0|0|30|0|0|0|0|40500|0
Patuxent Roofing and Contracting||patuxent roofing & contracting|0|0|0|131|345|0|0|0|274016|533602
Paul Crandall & Associates Inc|391615863|paul crandall|25|0|0|24|0|44804|0|0|33807|0
Paul Saunders Roofing Co Inc|541451205|paul saunders roofing|0|27|25|25|25|0|40379|30078|31757|31806
PB Roofing LLC|920942333|pb roofing|0|0|0|0|44|0|0|0|0|93418
PBRoofing|208218477|pbroofing|0|45|0|0|0|0|93600|0|0|0
Peach State Roofing, Inc.|581920786|peach state roofing|63|54|45|0|53|121343|96974|91724|0|105871
Peak Fall Protection|834483965|peak fall protection|55|46|48|0|0|114770|97012|90341|0|0
Peak Roofing, Inc.||peak roofing|0|0|0|0|70|0|0|0|0|149217
Pearce-Blackburn Roofing|200894682|pearce-blackburn roofing|26|24|23|27|27|46927|38285|39608|52219|52399
Peck Brothers LLC|208214177|peck brothers|0|0|44|0|0|0|0|52632|0|0
Pelican Roofing Company LLC|455613203|pelican roofing|0|32|22|29|0|0|66560|45760|60320|0
Penn Exterior Restoration, LLC|842818068|penn exterior restoration|0|0|0|31|37|0|0|0|63440|73336
Pennsylvania Roofing Systems, Inc.|251339595|pennsylvania roofing|0|0|0|64|64|0|0|0|104942|121708
Peoplease|582275794|peoplease|0|0|17|0|0|0|0|34493|0|0
PERFECT ROOFING OF FLORIDA, LLC|822041050|perfect roofing of florida|0|0|0|0|17|0|0|0|0|12204
Performance Roofing dba A-Best Roofing|731325517|performance roofing dba a-best roofing|51|0|0|49|51|89879|0|0|100650|3290
Performance Roofing Systems, Inc.|391698070|performance roofing|0|36|32|31|0|0|66103|59888|60773|0
Peterson Brother's Roofing and Construction, Inc.|411351452|peterson brother's roofing|35|0|43|42|45|52748|0|58474|63628|64951
Peterson Roofing Company of Olean NY Inc.|160850890|peterson roofing company of olean ny|12|12|12|0|0|22831|25979|30297|0|0
Peterson Roofing LLC.|934585699|peterson roofing|0|0|0|0|38|0|0|0|0|25793
Pfeifer Roofing, Inc.|931225470|pfeifer roofing|58|65|74|77|66|124775|136327|142446|167900|127790
Pfister Maintenance|223311584|pfister maintenance|33|32|28|19|0|56730|45619|42923|24314|0
PGR Custom Homes||pgr custom homes|0|0|0|22|19|0|0|0|34300|1695
PHD Roof Doctors Inc|562339449|phd roof doctors|45|30|0|0|0|65694|45243|0|0|0
PHILLIPS ROOFING, LLC|412207924|phillips roofing|18|19|22|0|0|27262|27446|32336|0|0
Phinney Industrial Roofing Inc|341478040|phinney industrial roofing|27|28|0|24|24|43503|50757|0|43249|46410
Phinney Industrial Roofing Services & Maintenance, LLC|261519796|phinney industrial roofing services & maintenance|0|0|0|21|21|0|0|0|42531|42986
Phinney Industrial Sheet Metal LLC|311750669|phinney industrial sheet metal|0|0|0|9|0|0|0|0|20103|0
Phoenix Exteriors LLC|208593669|phoenix exteriors|34|47|0|0|0|68072|61608|0|0|0
Phoenix Roofing Co., Inc.|251688906|phoenix roofing|0|48|97|75|90|0|85737|108500|101120|137898
PI Roof Maintenance Inc.|731623143|pi roof maintenance|30|34|0|34|40|62528|59446|0|76565|84391
Pickard Roofing Co., inc.|561317669|pickard roofing|18|23|13|13|18|33441|34872|29143|25184|28387
Pickens Contracting, Inc.|570481031|pickens contracting|0|86|67|84|87|0|194683|139193|183100|222037
PIEDMONT COMMERCIAL ROOFING, INC.||piedmont commercial roofing|0|0|18|20|22|0|0|29784|32366|36907
Pieros Roofing, a Tecta America Company|932888481|pieros roofing a tecta america|0|0|0|36|35|0|0|0|22559|66005
Pine Roofing Company, Inc.|361628895|pine roofing|0|0|0|88|67|0|0|0|168247|116518
Pinnacle Pro Roofing|465406460|pinnacle pro roofing|0|26|26|26|0|0|43721|44403|238160|0
Pinnacle Roofing Group|844581614|pinnacle roofing|0|0|23|0|25|0|0|41000|0|35000
Pioneer Roofing, A Tecta America Company, LLC|874105658|pioneer roofing a tecta america|0|0|55|51|51|0|0|80767|96983|101277
Pioneer Roofing, LLC|134225857|pioneer roofing|0|0|29|0|0|0|0|12982|0|0
Pittman Waller Roofing Co|581812458|pittman waller roofing|28|25|0|0|42|45886|39381|0|0|64172
PK Morin Enterprises Inc.  DBA: Roof Life of Oregon|931105023|pk morin enterprises inc. dba: roof life of oregon|0|0|42|35|35|0|0|63387|51168|54400
PLACER ROOFING INC|863864393|placer roofing|0|0|0|44|46|0|0|0|74718|71538
PLANCHON ROOFING INC|942712297|planchon roofing|0|0|21|19|0|0|0|44827|45428|0
Platinum Roofing, LLC|472769625|platinum roofing|32|33|43|76|88|61639|90625|128012|110402|134509
Poly Vinyl Roofing|391899682|poly vinyl roofing|0|0|20|20|26|0|0|34685|38023|38566
Poole Roofing Co., Inc|721213486|poole roofing|0|0|12220|6|0|0|0|11473|11621|0
Port Enterprises, Ltd|741975498|port|40|10|35|130|56|114400|20800|87984|310946|92197
Porter Roofing Contractors Inc.|621037198|porter roofing|22|0|0|0|195|60933|0|0|0|478863
Portland Painting and Construction|461425142|portland painting|0|0|0|0|20|0|0|0|0|35525
POWELL ROOFING, INC.|611620273|powell roofing|0|18|21|44|22|0|30401|36243|72934|35051
Prate Roofing & Installations, PLLC|900947274|prate roofing & installations|16|16|0|0|14|27210|27125|0|0|23109
Pratt & Whitney|363556097|pratt & whitney|0|0|0|61|0|0|0|0|903|0
Prattco Inc|593352522|prattco|35|32|52|24|22|39258|37305|32469|33994|23522
Preferred Construction Services, Inc.||preferred|0|34|38|43|45|0|69469|79314|92738|94676
Preferred, Inc. - Fort Wayne|352062372|preferred inc. - fort wayne|95|0|110|115|120|171929|0|204785|238838|253823
Premier Building Associates LLC.|475311086|premier building|0|0|0|0|52|0|0|0|0|108683
Premier Contracting, Inc.|481162686|premier contracting|0|0|0|39|31|0|0|0|79476|61250
PREMIER ROOFING & EXTERIORS LLC|873964626|premier roofing & exteriors|0|0|20|0|0|0|0|36928|0|0
Premier Roofing & Waterproofing, LLC|61763117|premier roofing & waterproofing|0|0|0|20|0|0|0|0|37390|0
Premier Roofing CA, Inc.|800174015|premier roofing ca|0|0|0|0|48|0|0|0|0|93922
Premier Roofing Company|651261019|premier roofing|75|296|197|185|0|3000|717650|563420|427382|0
Premiere  Roofing and Gutters  LLC|844486641|premiere roofing & gutters|0|0|0|3|0|0|0|0|3917|0
Preservation Services, Inc.|363833640|preservation|19|0|23|25|18|36343|0|43512|43793|34925
Pressure Point Roofing|931052886|pressure point roofing|35|0|41|45|49|77871|0|85076|91740|98674
Prestige Painting Worldwide|822572068|prestige painting|0|0|0|0|4|0|0|0|0|43992
Prestige Roofing Inc.|880364374|prestige roofing|0|0|0|0|69|0|0|0|0|154034
Prieto's Roof Removal|272362908|prieto's roof removal|7|13|0|0|0|50744|106223|0|0|0
Primus Consulting LLC|831855227|primus|0|0|0|4|0|0|0|0|2096|0
Pro Finish Painting, Inc.|208690058|pro finish painting|0|0|0|24|0|0|0|0|55817|0
PRO ROOFING & ASSOCIATE, INC|260628684|pro roofing & associate|0|0|27|25|16|0|0|48061|47338|27998
Procon Roofing Corporation|851580344|procon roofing|0|29|31|22|27|0|80890|55403|70693|93707
PROFESSIONAL ROOFING & SALES, INC.|010704190|professional roofing & sales|8|0|0|0|0|12304|0|0|0|0
Professional Roofing Services, INC|203881005|professional roofing|27|0|21|0|19|59685|0|44680|0|40086
Professional Roofing Svc.Inc.||professional roofing svc.inc|26|0|0|0|0|31372|0|0|0|0
Professional Sunshine Roofing, Inc.|208422845|professional sunshine roofing|0|0|75|40|56|0|0|75000|85000|116480
PROGENERATION ENERGY CORPORATION|464345981|progeneration energy|6|0|0|0|0|2273|0|0|0|0
Progressive Roofing Inc.|43425540|progressive roofing|0|0|14|0|0|0|0|26810|0|0
Progressive Services Inc.||progressive|20|0|0|0|0|30157|0|0|0|0
Propel Consulting Group LLC dba Roofco Group|471498168|propel consulting group llc dba roofco|0|0|0|52|93|0|0|0|94235|108299
PROS CHOICE ROOFING, LLC|851042903|pros choice roofing|7|0|0|0|0|3349|0|0|0|0
Protech Roofing Systems LLC|274452657|protech roofing|0|54|0|59|50|0|104105|0|119250|108874
Provincial South Inc. dba PSI Roofing|650531905|provincial south inc. dba psi roofing|59|52|0|0|0|85205|116923|0|0|0
Prowest, LLC|320455114|prowest|0|16|0|40|0|0|31616|0|135039|0
PRS of Nevada dba Professional Roofing Services|201729895|prs of nevada dba professional roofing|88|73|0|62|100|158750|151840|0|113669|10400
Pulver Roofing Company, Inc.|150538539|pulver roofing|35|35|0|40|40|73505|65352|0|82684|61414
PYRAMID ROOFING|470843712|pyramid roofing|30|0|0|0|0|60000|0|0|0|0
Pyramid Roofing and Sheet Metal Co., Inc.|161004789|pyramid roofing & sheet metal|1|0|0|0|0|26484|0|0|0|0
QA Roofing|371828616|qa roofing|0|0|0|6|6|0|0|0|9103|12480
Quality Metals, Inc.||quality metals|34|25|25|23|0|71946|48311|54365|46844|0
Quality Roofers and Guttering, Inc|561548973|quality roofers & guttering|39|32|25|28|0|63747|51854|39860|46467|0
Quality Roofing Contractors of Southeast Missouri, Inc.|431200791|quality roofing contractors of southeast missouri|0|0|88|97|0|0|0|179438|226193|0
Quality Roofing Solutions LLC|412227282|quality roofing|0|0|0|0|43|0|0|0|0|72697
Quality Tile Roofing, Inc.|820313606|quality tile roofing|30|30|22|16|0|60655|53727|40477|29733|0
Queen City Roofing & Contracting Company, Inc.|440593879|queen city roofing & contracting|0|52|50|48|0|0|99252|87015|80312|0
R & C Roofing Inc|800628673|r & c roofing|122|115|140|153|150|218319|170620|246401|289752|290550
R HAUPT ROOFING CONSTRUCTION INC.|30413263|r haupt roofing|0|0|16|36|0|0|0|26634|57032|0
R&B Roofing LLC|571155052|r & b roofing|172|160|148|221|183|361521|334573|309028|438591|386374
R&S Construction Services Inc.|061039729|r & s|0|0|0|0|36|0|0|0|0|66476
R. D. Bean Inc.||r. d. bean|96|83|89|69|0|218036|193247|214072|153675|0
R.B. Crowther Company, Inc.|364352872|r.b. crowther|0|0|18|17|17|0|0|29525|28520|29540
R.B. Hash & Associates, Inc.|760330682|r.b. hash|70|73|82|92|90|146455|152217|162269|187456|193172
R.F. Lusa and Son's Sheetmetal inc.|592684365|r.f. lusa & son's sheetmetal|45|47|49|0|0|141689|134391|128109|0|0
R.G Gutter Services Inc.|842012255|r.g gutter|0|0|27|0|0|0|0|18463|0|0
R.G. Smith Company Inc.|340664464|r.g. smith|0|0|24|24|30|0|0|29573|38300|39734
R.K. Elite Hydrovac Services Inc. / NC|561387327|r.k. elite hydrovac services inc. / nc|44|44|44|44|44|84398|83716|86924|64964|93511
R.M. COATS CONSTRUCTION, INC.|650827568|r.m. coats|19|21|23|44|0|21877|24469|28595|60834|0
R.W.S. & P. INC.|954415822|r.w.s. & p|45|41|44|90|0|46817|37847|39585|78572|0
R/J Group, Inc.|592541672|r/j|50|0|50|45|0|104000|0|104000|93600|0
Rackley Company|621664861|rackley|61|59|58|49|55|150681|144833|140576|138182|143337
Rackley Roofing Co Inc|620932570|rackley roofing|109|120|123|122|93|260762|291481|259709|180182|244060
Radco Construction Services, Inc.|561599261|radco|0|0|0|0|89|0|0|0|0|265156
Rain King, Inc.|742775327|rain king|49|49|49|80|72|112855|101928|92837|128995|140571
Rain Proof Roofing|383818943|rain proof roofing|77|0|0|0|0|140307|0|0|0|0
Rainbow Roofing Co., Inc.||rainbow roofing|19|17|12|19|12|30620|25686|24473|22314|22117
Raincoat Roofing Maintenance / Raincoat Roofing Systems|364203488|raincoat roofing maintenance / raincoat roofing|25|0|65|60|0|50481|0|104264|92278|0
Raintree Services Inc.||raintree|30|0|0|0|0|72072|0|0|0|0
Rainy Day Roofing Inc.|453798233|rainy day roofing|0|0|0|51|37|0|0|0|82792|60473
Ralph Jones Sheet Metal, Inc.|621043226|ralph jones sheet metal|60|45|45|35|35|105973|65294|51592|46354|51236
Ralph W. Plotke Inc.|800829412|ralph w. plotke|0|37|0|0|0|0|62261|0|0|0
Ramcon Roofing|510420078|ramcon roofing|200|0|0|0|145|299772|0|0|0|207127
Ramcon Roofing||ramcon roofing|0|254|115|101|0|0|209974|268112|236806|0
Range Cornice & Roofing Co Inc|410790570|range cornice & roofing|23|0|0|0|0|45442|0|0|0|0
Ray St Clair|311392120|ray st clair|0|42|0|0|0|0|86600|0|0|0
Rayco Roof Service, Inc.|541142276|rayco roof service|32|27|24|21|19|34903|42079|42748|39828|33191
RCH Roofing Corporation|043386814|rch roofing|0|0|0|0|87|0|0|0|0|196179
RD Herbert & Sons Company|620442225|rd herbert & sons|23|25|18|3|0|50239|54718|43914|4853|0
Ready Roofing, LLC|822501272|ready roofing|0|15|33|31|32|0|1791|65753|34671|66119
Ream Roofing Associates, LLC|232801208|ream roofing|0|45|46|57|68|0|73929|82849|105789|129746
Reconstruction Experts Inc.|592324798|reconstruction experts|208|148|110|205|104|180743|212693|169385|246192|211172
Recovery Roofing Inc|843651605|recovery roofing|0|30|25|40|25|0|43200|56534|55652|61248
Red Dogs Roofing of Florida Inc|823572139|red dogs roofing of florida|38|24|26|41|0|57054|15488|47217|70293|0
Red Mountain Roofing LLC|271463701|red mountain roofing|0|0|37|35|33|0|0|75379|77117|72977
Red Pointe Roofing, LP|900957014|red pointe roofing|101|93|94|112|133|210358|185594|192134|236757|281620
Red Sky, Inc|202070268|red sky|22|22|22|23|25|42635|37429|37347|35078|41320
Redd Roofing and Construction|870310391|redd roofing|124|124|131|138|132|266625|257869|272357|288422|276589
Redtail Roofing|863590302|redtail roofing|0|0|40|0|0|0|0|62000|0|0
Regan Roofing, Inc.|460628528|regan roofing|50|50|50|115|91|10400|10400|10400|137022|190186
Register Roofing & Sheet Metal, Inc.|542069021|register roofing & sheet metal|92|88|83|90|0|192900|186064|161784|174778|0
Reliance Roofing and Waterproofing, Inc.|462992114|reliance roofing & waterproofing|51|44|35|36|35|83627|69653|64308|64138|64448
Reliant Roofing LLC|871239494|reliant roofing|0|0|80|200|0|0|0|166400|414800|0
Renaissance Roofing, Inc.||renaissance roofing|88|77|0|0|0|228800|196350|0|0|0
Renco Roofing|010813574|renco roofing|65|65|0|65|65|128507|123711|0|125664|133107
RENEWPRO ROOFING, LLC|844777866|renewpro roofing|0|0|14|0|0|0|0|19426|0|0
Resnick Roofing & Contracting|932058239|resnick roofing & contracting|0|0|0|0|47|0|0|0|0|109980
Restoration Builderst Group (OK)|301017193|restoration builderst|257|24|5|27|0|554128|49920|10400|51840|0
Restoration Services Inc.|760044493|restoration|152|126|117|103|113|237868|147381|155952|166523|196643
Rey Crest Roofing and Waterproofing|953057325|rey crest roofing & waterproofing|35|0|0|35|35|76000|0|0|74431|78750
Reyes Group Generla Construction|201542316|reyes group generla|0|0|0|0|45|0|0|0|0|87688
RH Marcon Inc.|251419769|rh marcon|75|71|76|81|75|108605|127245|132892|147033|127671
RHI Construction Inc. RHI Roofing|208575136|rhi construction inc. rhi roofing|0|0|0|172|114|0|0|0|180749|222000
Richard L Sensenig Co.|231663036|richard l sensenig|75|67|66|63|64|135932|140511|135084|128854|132151
Ridge Valley Exteriors, Inc.|264306586|ridge valley exteriors|35|0|0|32|0|60000|0|0|41793|0
Ridgeworth Roofing|362791119|ridgeworth roofing|0|0|18|0|0|0|0|30188|0|0
Right Roofing & Siding inc.|264025736|right roofing & siding|0|0|0|17|0|0|0|0|22697|0
RILEY ROOFING LLC|833656009|riley roofing|0|0|0|0|19|0|0|0|0|15614
Ring Roofing, Inc.|821465051|ring roofing|33|0|0|0|0|69168|0|0|0|0
Rio Roofing, Inc.|742427440|rio roofing|41|43|35|40|42|96818|90130|74413|82354|90350
RISING STAR ROOFING, LLC.|823590460|rising star roofing|0|25|0|0|0|0|39059|0|0|0
Rite-Way Roof Corporation|330978921|rite-way roof|0|30|35|80|50|0|41245|48214|56077|67769
River City Roofing|200703878|river city roofing|28|19|18|13|16|22272|29600|22780|22883|15257
River Roofing Inc.|931046398|river roofing|40|36|36|39|39|67305|61908|60354|78314|92693
RL Craft Co., Inc.|421528139|rl craft|45|45|40|38|35|88626|80473|65061|59560|65733
RLB CONSTRUCTION LTD - ROOFTEC|760472889|rlb construction ltd - rooftec|21|23|26|27|26|42608|43943|53179|56305|52101
RMS Orlando, Inc|202309001|rms orlando|0|14|0|0|0|0|30571|0|0|0
Robert Binns Roofing|431951384|robert binns roofing|60|67|127|127|0|124800|800004|85338|85338|0
Robert Ganter Contractors Inc||robert ganter|0|110|0|110|0|0|193143|0|266689|0
Roberts McNutt Inc.||roberts mcnutt|26|24|0|0|0|39316|41405|0|0|0
Roberts Roofing|256986325|roberts roofing|0|0|0|44|22|0|0|0|82339|42000
Roberts-McNutt|007104023|roberts-mcnutt|0|0|0|0|31|0|0|0|0|37461
Robust Roof, LLC|921308824|robust roof|0|0|0|0|8|0|0|0|0|16000
Rockwell Roofing, Inc.|42652947|rockwell roofing|0|0|44|0|0|0|0|101824|0|0
Rogers Roofing, Inc.|363864511|rogers roofing|0|0|0|35|0|0|0|0|72800|0
Roman Roofing, Inc.|473093920|roman roofing|0|0|0|360|312|0|0|0|720000|624000
Roof Asset Management Inc.|812728224|roof asset|0|42|39|44|54|0|80888|78049|89128|105429
Roof Check Inc|841035057|roof check|85|55|0|0|65|128554|90822|0|0|115620
Roof Concepts LLC|201759307|roof concepts|0|0|23|0|0|0|0|6255|0|0
Roof Control Services, Inc|352141002|roof control|50|45|50|0|45|87935|82157|79726|0|81681
Roof Depot|582385323|roof depot|0|123|123|123|138|0|255840|249600|249600|287040
ROOF EZ INC.|882425685|roof ez|0|0|0|40|0|0|0|0|85220|0
Roof King Roofing Inc|453969998|roof king roofing|40|31|65|30|67|5249|1715|38919|46922|42613
Roof Maintenance Systems|222016917|roof maintenance|19|20|19|18|16|30075|31182|30428|28777|27763
Roof Masters Inc|931088362|roof masters|0|0|0|20|0|0|0|0|32975|0
Roof Partners, LLC|320395363|roof|0|0|21|0|0|0|0|37011|0|0
Roof Rite||roof rite|0|0|0|61|105|0|0|0|126880|37663
Roof Systems of Maine, A Tecta America Company, LLC|811305084|roof systems of maine a tecta america|40|40|42|44|46|79889|60602|85524|88697|76996
Roof Systems of VA, Inc.|541663081|roof systems of va|0|90|0|0|0|0|201982|0|0|0
Roof Tech, Inc.|411738553|roof tech|28|36|33|39|29|40281|47077|41296|49088|42192
Roof Tile Specialists|850531306|roof tile specialists|0|0|0|200|400|0|0|0|100000|2300000
Roof Top Innovations|813785769|roof top innovations|0|0|0|0|10|0|0|0|0|2080
Roof toppers|911607565|roof toppers|0|0|0|67|65|0|0|0|109430|114745
Roof Toppers of El Paso, Inc.|201582986|roof toppers of el paso|0|0|0|45|0|0|0|0|49199|0
ROOF-IT-RIGHT, LLC|270461379|roof-it-right|19|25|25|52|23|36514|48591|48732|104500|41790
Roofcare Service Center, LLC|823420143|roofcare service center|0|0|75|82|70|0|0|152461|172412|143597
ROOFCO LLC|462806818|roofco|26|30|23|54|0|52312|60568|43896|106704|0
Roofcrafters, Inc|202771976|roofcrafters|0|0|20|23|25|0|0|39644|48178|52497
Roofing & Renovation of Florida, LLC|454000879|roofing & renovation of florida|20|0|20|22|24|48000|0|51346|57200|62581
Roofing Buyer, LLC||roofing buyer|0|0|0|35|0|0|0|0|83220|0
Roofing by Curry|650478749|roofing by curry|156|0|175|0|0|2776|0|364000|0|0
Roofing Concepts LLC|823859676|roofing concepts|0|0|0|42|42|0|0|0|67695|68111
Roofing Services & Solutions, a Tecta America Company, LLC|832215604|roofing services & solutions a tecta america|40|42|0|0|0|108590|88244|0|0|0
Roofing Services Unlimited|481086144|roofing services unlimited|43|0|0|0|0|61767|0|0|0|0
Roofing Solutions, LLC|200737604|roofing|0|0|0|0|81|0|0|0|0|168480
Roofing Standards, Inc.|201167661|roofing standards|90|90|90|95|0|180000|180000|180000|187200|0
Roofing Unlimited & Sheet Metal, Inc.||roofing unlimited & sheet metal|33|35|35|35|40|67792|62220|62350|63517|76240
RoofingSource|363620654|roofingsource|0|0|0|0|134|0|0|0|0|296914
Rooflynx LLC|850681649|rooflynx|0|0|0|13|18|0|0|0|30550|42550
Roofmaster of South Florida, inc.|650867453|roofmaster of south florida|0|0|0|24|0|0|0|0|24006|0
Roofmasters Roofing & Sheet Metal|481148084|roofmasters roofing & sheet metal|66|51|42|42|45|121537|102810|85179|105421|91123
RoofOptions LLC|900195289|roofoptions|87|88|89|90|80|193960|197392|175261|174150|165818
Roofs Restored|813432626|roofs restored|0|0|0|21|0|0|0|0|31287|0
Roofs, Inc.|362874756|roofs|20|21|17|16|13|39386|42000|29630|28546|20265
RoofSmith of Tampa Bay, Inc.||roofsmith of tampa bay|33|0|0|0|0|69819|0|0|0|0
Roofsmith Restoration|272905721|roofsmith restoration|0|0|0|70|0|0|0|0|834324|0
Rosedale Roofing Company, Inc.|520998967|rosedale roofing|175|122|131|127|133|388704|334136|302025|315177|310935
Rosenquist Construction|411725965|rosenquist|25|20|22|25|21|32826|28609|35256|39651|36674
